CustCD,DeveCD,W/H_CD,ASSY_Gr,Rev,Place,No,SubNo,Rank,WorkClass,Wi_No,Wi_Type,Wi_Size,Wi_Col,Wi_Len,Wi_Add,J_??,Wi_Gr,Cir_S,Cir_L,Ter_L,W_L,ConnName_L,ConnNo_L,T_Conn_L,Tub_L,Ins_L,M_L,SAM_Hand_S_L,P_L,B_L,ConnID_L,FILLER_2,Cir_R,Ter_R,W_R,ConnName_R,ConnNo_R,T_Conn_R,Tub_R,Ins_R,M_R,SAM_Hand_S_R,P_R,B_R,ConnID_R,FILLER_3,ApplCD,FileName
D,D,D,D,D,1010,0000,0DLU,A39A,H.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACFGKLUVXbfghijklmnopqrstuvwxyz123,
D,D,D,D,D,1010,0001,0007,0007,,1A9,IVSS,2.0F, W/B,1435,,0003,,O10,$ZJ,LA306JS-R2, 3,LA306JS-R2,622,,,1,,,,,56600150,,#ET,LA106JM-R2,,LA106JM-R2,625,1,,1,,,,,5660014F,,                     V X       f hi   mnopq stuv,50A020E250A020E3  1  1
D,D,D,D,D,1010,0002,0007,0007,,1A9,IVSS,2.0F, W/B,1435,,0002,,O10,#ET,LA206J-R2, 1,LA206J-R2,625,1,,1,,,,,56600158,,$ZJ,LA306JS-R2, 2,LA306JS-R2,622,,,1,,,,,5660014D,,                                g  j       r    w,50A023B950A020D0  1  1
D,D,D,D,D,1010,0003,0007,0007,,1A9,IVSS,2.0F, W/B,1435,,0004,,,#ET,LA106JM-R2,,LA106JM-R2,625,1,,1,,,,,56600194,,$ZJ,LA306JS-R2, 7,LA306JS-R2,622,,,1,,,,,566001A3,,                                    kl,50A02D9650A02DC3  1  1
D,D,D,D,D,1010,0004,0009,0009,,598,CIVUS,0.35,GR/,222,,0006,,O09,YLU,NANSSF55-9,,ETHERNET-34F-GR,11,1,,1,,,,,50700078,,%SY,PS-126-2,,,,,,0,,,,,,,A C  FG   KL        UV X   b   fghijklmnopqrstuvwxyz123,50A0155750A02E01 23  1
D,D,D,D,D,1010,0005,0009,0009,,697,ISHEK,0.3F,  /,1422,,0006,  6,O09,#TB,SSGM,,YSK-TP-18M,542,1,,1,,,,,50700072,,YLU,PS-126-2,,,,,,0,,,,,,,A C  FG   KL        UV X   b   fghijklmnopqrstuvwxyz123,50A00E9F         17
D,D,D,D,D,1010,0006,0009,0009,,5H8,CIVUS,0.5,GR/,283,,0005,,O09,ZQU,NANSSF55-2,,LK-ANSSA6F-B,2,,,1,,,,,56600197,,%SW,PS-126-2,,,,,,0,,,,,,,A C  FG   KL        U                            xyz12,50A0151850A02E06 24  1
D,D,D,D,D,1010,0007,0009,0009,,5H9,CIVUS,0.35,GR/,327,,0008,,O09,LUK,NANSSF55-9,,ANSS-A-12FE,3,,,1,,,,,56600108,,%SX,PS-126-2,,,,,,0,,,,,,,A C  FG   KL        U                            xyz12,50A0151C50A02E07 19  1
D,D,D,D,D,1010,0008,0009,0009,,595,CIVUS,0.35,GR/,163,,0012,,O09,GH4,NANSSF55-9,,LK-ANSSA6F-B,2,,,1,,,,,56600197,,%SV,PS-126-2,,,,,,0,,,,,,,A C  FG   KL        U                            xyz12,50A02D5150A02E08  4  1
D,D,D,D,D,1010,0009,0018,0018,,683,HSHEQ,0.5F,  /,1551,, 729,  2,O05,MVC,SSGF,,YSK/TSN25-63F-GR,530,,,2,,,,,50700001,,+6Z,,,,,,,0,,,,,,,     FG             U             ij          uvw   12,50A0281450A0298B 50  1
